번호,카페명,업종,플랫폼,별점,별점유형,감성,테마,리뷰내용,작성일,작성자
1,놀이구름카페,키즈·북카페(EBS),네이버지도,4,추정,긍정,맛·메뉴,"아이와 함께 방문하기 좋았어요, 커피가 맛있어요",2026-05-10,루실86
2,놀이구름카페,키즈·북카페(EBS),네이버지도,1,추정,부정,서비스·응대,오픈시간에 갔는데 준비 안 됐다며 퉁명스럽게 응대. 받은 커피는 밑바닥 보일 정도로 연해서 놀람. 다시 말하니 사장분이 바꿔주셨지만 사과는 없었음. 알바생이 사장 오니 태도 바뀌어 더 짜증,2025-05-23,moon6
3,놀이구름카페,키즈·북카페(EBS),네이버지도,5,추정,긍정,공간·인테리어·뷰,뷰가 아주 좋아요~,2025-02-22,햇살살이
4,놀이구름카페,키즈·북카페(EBS),네이버지도,4,추정,긍정,공간·인테리어·뷰,놀이구름과 별개로 운영되고 있는데 정말 쾌적하고 좋아요,2024-03-08,Vraiment
5,놀이구름카페,키즈·북카페(EBS),네이버지도,3,추정,중립,서비스·응대,뷰가 좋아요. 직원이 없어서 기다렸어요,2024-01-22,강달이형
6,놀이구름카페,키즈·북카페(EBS),네이버지도,4,추정,긍정,놀거리·시설,"체험학습 갔는데 넘 좋았어요, 음료가 맛있어요",2023-11-22,라일락쌤
7,놀이구름카페,키즈·북카페(EBS),네이버지도,5,추정,긍정,서비스·응대,"친절하세요, 인테리어가 멋져요",2023-02-20,북한말고부산출신파주댁
8,놀이구름카페,키즈·북카페(EBS),네이버지도,5,추정,긍정,공간·인테리어·뷰,공간도 넓고 위층에 아이들 책보기 좋은 공간이 멋져요,2022-11-12,방문자
9,놀이구름카페,키즈·북카페(EBS),네이버지도,3,추정,중립,맛·메뉴,아이들 놀기에는 정말 재미있어요. 근데 편의점 메뉴 중 크로와상은 정말 부실하네요,2022-06-30,방문자
10,놀이구름카페,키즈·북카페(EBS),인스타그램,5,추정,긍정,놀거리·시설,남편이 다음에 또 가자고. #파주놀이구름 #아이와가볼만한곳,2026-06,moran_e1228
11,놀이구름카페,키즈·북카페(EBS),인스타그램,5,추정,긍정,가격·가성비,24개월 미만이라 공짜로 신나게 놀고 옴. 맘먹으면 2~3시간 놀 수 있을 듯. #EBS놀이공간 #강추,2026-06,jju._.grams
12,놀이구름카페,키즈·북카페(EBS),인스타그램,5,추정,긍정,놀거리·시설,아이들이 좋아할 만한 것들로 잘 되어 있다(추천!). 아이가 좋아해 힘들었지만 엄빠도 흐뭇. 좀 더 커서 또 와도 좋을 듯,2026-06,hyooni24
13,놀이구름카페,키즈·북카페(EBS),인스타그램,5,추정,긍정,놀거리·시설,할머니와 함께한 파주 나들이. 번개맨 공연 보며 박수도 치고 걸음마도 실컷 했어요,2026-06,riverrain_mom
14,놀이구름카페,키즈·북카페(EBS),인스타그램,4,추정,긍정,가격·가성비,"파주 북카페 놀이구름. 아메리카노 3천원, 라떼 3,500원, 뽀로로 음료 2,000원. 1층 어른책·2층 아이책, 높은 층고에 넓고 프라이빗",2026-05,mcsy3_
15,놀이구름카페,키즈·북카페(EBS),인스타그램,4,추정,긍정,공간·인테리어·뷰,키즈카페는 못 가고 아쉬워 카페에 들름. 음료가 저렴하며 책을 볼 수 있고 분위기가 아늑하다,2026-05,lnh5147
16,놀이구름카페,키즈·북카페(EBS),인스타그램,5,추정,긍정,놀거리·시설,번개맨 코스튬 입고 2시간 내내 신나게 놀다 옴. 재밌다고 나중에 또 가자고,2026-05,_jua_0328
17,놀이구름카페,키즈·북카페(EBS),인스타그램,5,추정,긍정,놀거리·시설,여러 번 방문했지만 갈 때마다 즐거움. 원통형 미끄럼틀도 도전. 중간중간 포토타임·공연 있어 아이들과 즐기기 좋아요,2026-04,vely_vely_kim
18,놀이구름카페,키즈·북카페(EBS),인스타그램,5,추정,긍정,놀거리·시설,여기만 가면 땀 한 바가지지만 놀 것 많고 2시간 후딱. 비 오는 날 파주 놀이구름 꼭! 활동적인 아이라면 200% 만족,2026-06,welcome__san
19,놀이구름카페,키즈·북카페(EBS),카카오맵,4,실측,긍정,놀거리·시설,재방문 의사 있음. 전용주차장 무료. 파주시와 EBS가 공동 조성한 어린이 놀이문화 체험 공간,2026-05-17,카카오이용자
20,놀이구름카페,키즈·북카페(EBS),카카오맵,4,실측,긍정,공간·인테리어·뷰,평범한 키즈카페는 분명 아니다! 만족도 높음. 호수공원 뷰의 내부 매점도 좋았다,2026-04-04,카카오이용자
21,놀이구름카페,키즈·북카페(EBS),카카오맵,5,실측,긍정,가격·가성비,"가성비 최고, 단 평일 기준",2026-02-12,카카오이용자
22,놀이구름카페,키즈·북카페(EBS),카카오맵,2,실측,부정,놀거리·시설,공간 규모에 비해 (놀거리가) 너무 짧음,2025-11-16,카카오이용자
23,놀이구름카페,키즈·북카페(EBS),카카오맵,5,실측,긍정,놀거리·시설,후기 점수가 생각보다 낮아 리뷰 남김. EBS 캐릭터가 있어 방문했는데 좋았음,2024-03-21,카카오이용자
24,놀이구름카페,키즈·북카페(EBS),카카오맵,1,실측,부정,혼잡·대기,이 돈이면 널린 키즈카페 가세요. 주말엔 사람 미어터지고 입장 대기줄 30분. 아이들이 30분을 가만히 있나요? 돈 내고 고생만 함,2023-12-07,카카오이용자
25,놀이구름카페,키즈·북카페(EBS),카카오맵,5,실측,긍정,놀거리·시설,"여기가 별로면 대체 어디가 좋다는 거에요. 가본 중 제일 넓고 깨끗, 37개월 아이가 두 시간 반 신나게 놀고 안 가겠다고 울었음",2023-09-23,카카오이용자
26,놀이구름카페,키즈·북카페(EBS),카카오맵,5,실측,긍정,놀거리·시설,"동네 키카와는 비교도 안 될 크기·구성, 시스템도 잘 갖춰짐. 체험도 다양해서 대만족",2023-07-16,카카오이용자
27,놀이구름카페,키즈·북카페(EBS),카카오맵,5,실측,긍정,놀거리·시설,별거 없어 보이지만 세 돌 남아가 너무 재밌게 잘 놉니다. 또 오고 싶네요,2024-12-22,카카오이용자
28,놀이구름카페,키즈·북카페(EBS),카카오맵,2,실측,부정,맛·메뉴,"관람 전 내부카페 먼저 왔는데 라떼 3,500원 싸다고 주문했으나(품질 아쉬움)",2024-07-14,카카오이용자
29,놀이구름카페,키즈·북카페(EBS),카카오맵,2,실측,부정,놀거리·시설,입구는 그럴듯한데 막상 놀거리가 별로 없음. 멀리서 올 만한 퀄리티는 아니고 주말에도 한산. 그런 데엔 이유가 있음,2023-09-10,카카오이용자
30,놀이구름카페,키즈·북카페(EBS),카카오맵,2,실측,부정,가격·가성비,진짜 별거 없어요. 이 정도 가격이면 그냥 키카 가는 게 나을 듯. 그래도 공연은 함,2022-09-04,카카오이용자
31,놀이구름카페,키즈·북카페(EBS),카카오맵,5,실측,긍정,청결·위생,평일 방문하니 사람이 없어 재밌게 놀았음. 직원들 친절하고 계속 청소하는 모습에 안심,2022-07-05,카카오이용자
32,놀이구름카페,키즈·북카페(EBS),카카오맵,4,실측,긍정,가격·가성비,미취학 아동들 잘 놀아요. 두 시간 초과하면 네 가족 5만원 정도. EBS 운영치고 좀 비싼 느낌,2026-05-31,카카오이용자
33,놀이구름카페,키즈·북카페(EBS),카카오맵,5,실측,긍정,가격·가성비,가성비 좋아요. 몇 번 왔는데 올 때마다 좋아해요,2026-02-14,카카오이용자
34,놀이구름카페,키즈·북카페(EBS),카카오맵,2,실측,부정,놀거리·시설,"금액 자체는 크게 비싸지 않고, 미취학 아이들과 주말 겸 놀러 가기 적당한 정도",2025-12-25,카카오이용자
35,놀이구름카페,키즈·북카페(EBS),카카오맵,5,실측,긍정,놀거리·시설,후기들이 별로 안 좋은데 저는 괜찮았어요. 은근 갈 곳이 많고 여기저기 숨겨져 있음. 다만 (실내가) 덥긴 함,2025-12-21,카카오이용자
36,놀이구름카페,키즈·북카페(EBS),카카오맵,5,실측,긍정,놀거리·시설,진심 이게 별로인 거면 뭐가 좋은 건지…?,2025-10-11,카카오이용자
37,놀이구름카페,키즈·북카페(EBS),카카오맵,4,실측,긍정,주차·접근성,기대 안 하고 갔는데 너무 좋았음. 오픈런했고 10시 오픈에 15분 전 도착해 여유롭게 주차 잘함,2025-08-15,카카오이용자
38,더티트렁크,대형 브런치카페,네이버지도,5,추정,긍정,공간·인테리어·뷰,"파주 대형 예쁜 카페. 평일 낮 한적, 말차 쑥 라테 맛있음. 소금빵 만족, 포토존·식물 많아 분위기 좋고 주차장 널널",2026-04-16,방문자
39,더티트렁크,대형 브런치카페,네이버지도,5,추정,긍정,맛·메뉴,파주에서 브런치 맛집!! 진짜 너무 맛있었어요. 다음에 또 가야겠음,2026-06-23,방문자
40,더티트렁크,대형 브런치카페,네이버지도,5,추정,긍정,공간·인테리어·뷰,넓은 실내와 컨셉이 다른 의자·공간들. 2층 특이한 컨셉 구경하며 즐거운 시간 보냄,2026-03-21,방문자
41,더티트렁크,대형 브런치카페,네이버지도,4,추정,긍정,공간·인테리어·뷰,늦게 가서 빵이 많이 없었지만 넓고 높은 층고로 시원한 뷰. 빵도 맛있고 음료도 특이한 게 많음,2026-03-22,방문자
42,더티트렁크,대형 브런치카페,네이버지도,4,추정,긍정,공간·인테리어·뷰,평일 저녁 여유롭고 공간이 넓어 좋음. 섹션마다 인테리어가 다양,2026-06-15,방문자
43,더티트렁크,대형 브런치카페,네이버지도,4,추정,긍정,공간·인테리어·뷰,"베이커리 종류 다양, 공간 넓어 답답함 없음. 2층 엘리베이터가 없어 픽업이 살짝 힘든 점 빼고 커피도 맛있음",2026-05-23,방문자
44,더티트렁크,대형 브런치카페,네이버지도,5,추정,긍정,공간·인테리어·뷰,입구부터 압도. 시그니처 치즈라떼 비주얼 좋고 맛은 기본 이상. 분위기 확실히 기억에 남아 브런치 겸 카페투어 추천,2026-02-21,방문자
45,더티트렁크,대형 브런치카페,네이버지도,5,추정,긍정,공간·인테리어·뷰,정말 예뻐요. 빵도 맛있고 인생사진 건지는 곳. 파주 카페 중 제일 좋아하는 곳,2026-04-21,방문자
46,더티트렁크,대형 브런치카페,인스타그램,5,추정,긍정,공간·인테리어·뷰,비 오는 날 가야 하는 초대형 올인원 카페테리아. 브런치부터 주류·디저트까지 갖춘 올인원 대형카페,2024-07,4nyang_
47,더티트렁크,대형 브런치카페,인스타그램,5,추정,긍정,맛·메뉴,맛있다. #더티트렁크 #파주대형카페 #엄마랑데이트,2024-06,sssal_2
48,더티트렁크,대형 브런치카페,인스타그램,5,추정,긍정,공간·인테리어·뷰,파주에 창고형 대형카페가 많은데 개인적으로 포레스트아웃팅스보다 분위기가 더 좋았어요,2020-10,__sunnypic__
49,더티트렁크,대형 브런치카페,인스타그램,4,추정,긍정,공간·인테리어·뷰,파주 초대형 카페. 넓고 다채로운 색감이라 보정하기 힘들 정도. 주변 먹거리·놀거리 많으니 하루 잡고 방문 추천,2021-08,picchul_
50,더티트렁크,대형 브런치카페,카카오맵,4,실측,긍정,맛·메뉴,근교 드라이브 코스로 들를 만함. 맛은 그냥 그럼. 빵 종류가 많이 없던데 너무 저녁에 갔나 싶기도,2026-02-28,카카오이용자
51,더티트렁크,대형 브런치카페,카카오맵,5,실측,긍정,가격·가성비,다른 대형카페 대비 음료·빵·음식 가성비 좋은 것 같음. 개인적으로 조명이 어두운 게 아쉬움,2026-02-17,카카오이용자
52,더티트렁크,대형 브런치카페,카카오맵,1,실측,부정,맛·메뉴,"쫀득 쿠키가 8,800원인데 너무 눅눅. 만든 지 오래된 상품인지 여쭤보니 원래 그렇다고",2026-02-16,카카오이용자
53,더티트렁크,대형 브런치카페,카카오맵,1,실측,부정,맛·메뉴,매장 인테리어 인상적이고 주차도 편함. 하지만 음식은 메뉴당 2만원인데 맛은 애매하고 소스 범벅이라 먹기 불편. 인테리어·사진만 보러 오길,2026-02-15,카카오이용자
54,더티트렁크,대형 브런치카페,카카오맵,1,실측,부정,맛·메뉴,진지하게 이 메뉴 왜 파는지 모르겠습니다,2025-12-29,카카오이용자
55,더티트렁크,대형 브런치카페,카카오맵,1,실측,부정,서비스·응대,서비스 차별 때문에 열받는 곳. 매장에서 먹기로 하고 머그컵 라떼아트 보려 샀는데 종이컵으로 준다는 안내도 없었음,2025-10-08,카카오이용자
56,더티트렁크,대형 브런치카페,카카오맵,3,실측,중립,맛·메뉴,오랜만에 왔는데 한물 갔네요. 빵도 맛이 없고 서비스도 좀…,2025-09-19,카카오이용자
57,더티트렁크,대형 브런치카페,카카오맵,4,실측,긍정,공간·인테리어·뷰,비가 갑자기 쏟아져 수다 떨고 놀기 좋은 곳인 것 같아 방문,2025-06-07,카카오이용자
58,더티트렁크,대형 브런치카페,카카오맵,5,실측,긍정,맛·메뉴,빵은 별로였고 뭔가 오래된 느낌. 근데 흑임자 이즈백은 너무 맛있었음,2025-05-25,카카오이용자
59,더티트렁크,대형 브런치카페,카카오맵,4,실측,긍정,주차·접근성,"매장도 넓고 주차 편함. 밥은 안 먹고 가는 거 추천, 먹을 것 많음",2025-04-13,카카오이용자
60,더티트렁크,대형 브런치카페,카카오맵,2,실측,부정,서비스·응대,음식은 나쁘지 않고 주차 괜찮고 분위기 좋아서 별 하나는 아닌데 직원들 태도가…,2025-02-14,카카오이용자
61,더티트렁크,대형 브런치카페,카카오맵,1,실측,부정,맛·메뉴,빵 5개 음료 3잔에 5만원. 빵이 다 눅고 퍼석거리고 질겨서 못 먹겠음. 당일 만든 빵이 아닌 듯한 식감,2024-12-07,카카오이용자
62,더티트렁크,대형 브런치카페,카카오맵,5,실측,긍정,공간·인테리어·뷰,"창고형 카페, 2층 구조. 빵·커피·피자·맥주 등 판매",2024-11-30,카카오이용자
63,더티트렁크,대형 브런치카페,카카오맵,4,실측,긍정,가격·가성비,대형 베이커리 중에선 원조답게 가성비 있는 편이고 맛있음. 요즘 물가가 워낙 비싸서,2024-11-18,카카오이용자
64,더티트렁크,대형 브런치카페,카카오맵,1,실측,부정,서비스·응대,빵·음료는 맛있었는데 직원들이 너무 별로. 자꾸 째려보고 손님 앞에서 일 안 하고 자기들끼리 수다만,2024-11-16,카카오이용자
65,더티트렁크,대형 브런치카페,카카오맵,1,실측,부정,맛·메뉴,"절대 가지 마세요. 깜짝 놀랄 정도로 맛없음, 커피도 맛없음. 3명이서 포장까지 11만원 정도",2024-11-04,카카오이용자
66,더티트렁크,대형 브런치카페,카카오맵,5,실측,긍정,공간·인테리어·뷰,분위기 너무 좋고 사진 찍을 장소 많아요. 퓨전 음식 좋아하는 분들께 추천,2024-10-19,카카오이용자
67,더티트렁크,대형 브런치카페,카카오맵,1,실측,부정,맛·메뉴,로제파스타 너무 느끼하고 치킨은 기름을 안 갈았는지 태운 건지 화남. 비싼 돈 지불하고 아쉬움,2024-08-18,카카오이용자
68,더티트렁크,대형 브런치카페,카카오맵,2,실측,부정,맛·메뉴,이전 좋은 기억에 별점 무시하고 왔더니 허브는 다 시들고 홀랜다이스 소스가 이상. 방울토마토 꼭지도 직접 떼야,2024-09-01,카카오이용자
69,브레드이발소 키즈카페,캐릭터 키즈카페,네이버지도,5,추정,긍정,놀거리·시설,"매장도 너무 깨끗하고 아이들 놀거리가 풍성. 직원분들 친절, 매점 메뉴 다양, 공간 넓어 주말에도 편하게 이용",2026-05-25,방문자
70,브레드이발소 키즈카페,캐릭터 키즈카페,네이버지도,4,추정,긍정,공간·인테리어·뷰,"(협찬) 내부가 넓고 캐릭터별 놀이테마 공간. 신발·소지품 보관, 수유실, 물놀이 후 드라이기 등 작은 배려. 야외공간도 있음",2026-04-12,방문자
71,브레드이발소 키즈카페,캐릭터 키즈카페,네이버지도,5,추정,긍정,놀거리·시설,"넓고 깨끗. 다양한 테마 공간, 타임별 프로그램·방송 안내로 체험 놓치지 않음. 직원 친절, 매점 있어 간식·휴식 좋음",2026-05-10,방문자
72,브레드이발소 키즈카페,캐릭터 키즈카페,네이버지도,5,추정,긍정,놀거리·시설,"규모가 넓어 아이가 오래 놀음. 트램폴린·볼풀·물놀이·튜브슬라이드 다양. 시설 깔끔, 야외 테라스, 부모 쉴 자리 넉넉",2026-04-26,방문자
73,브레드이발소 키즈카페,캐릭터 키즈카페,네이버지도,4,추정,긍정,놀거리·시설,아이들이 잘 놀아서 거리가 좀 있어도 오게 되네요,2026-06-28,방문자
74,브레드이발소 키즈카페,캐릭터 키즈카페,네이버지도,5,추정,긍정,놀거리·시설,"넓은 규모에 놀거리 가득, 매점도 있어 간식 챙기기 편함. 재방문 의사 있음",2026-04-18,방문자
