월,유형,카테고리,금액
1월,매출,브런치,5200000
1월,매출,키즈,1800000
1월,매출,커피·음료,3400000
1월,매출,디저트,1100000
1월,매출,놀이존,4500000
1월,비용,임대료,3000000
1월,비용,인건비,4800000
1월,비용,식자재,3600000
1월,비용,공과금,900000
1월,비용,마케팅,800000
1월,비용,기타운영,500000
2월,매출,브런치,5800000
2월,매출,키즈,2100000
2월,매출,커피·음료,3700000
2월,매출,디저트,1250000
2월,매출,놀이존,5200000
2월,비용,임대료,3000000
2월,비용,인건비,5000000
2월,비용,식자재,4000000
2월,비용,공과금,850000
2월,비용,마케팅,600000
2월,비용,기타운영,550000
3월,매출,브런치,7100000
3월,매출,키즈,2600000
3월,매출,커피·음료,4300000
3월,매출,디저트,1500000
3월,매출,놀이존,6400000
3월,비용,임대료,3000000
3월,비용,인건비,5400000
3월,비용,식자재,4700000
3월,비용,공과금,800000
3월,비용,마케팅,700000
3월,비용,기타운영,600000
